,id,follow,meet,givefuture,info,march,sign,give12m,compromise,tempobama,tempblack,tempwhite,temphisp,temppolice,tempfem,tempmuslim,tempsci,dem_cand,rep_cand,lazyb,lazy_w,lazy_h,lazy_m,violent_b,violent_w,violent_h,violent_m,econ_now,econ12m,pidAggr,ISSUES_1,ISSUES_2,ISSUES_3,ISSUES_4,ISSUES_5,ISSUES_6,ISSUES_7,ISSUES_8,ISSUES_9,ISSUES_10,ISSUES_11,ISSUES_12,ISSUES_13,ISSUES_14,ISSUES_15,ISSUES_16,ISSUES_17,ISSUES_18,ISSUES_19,ISSUES_20,ISSUES_21,discb,disch,discw,discg,discwo,discm,discmu,discc,discselfsex,srvspend,camfin,imlegal,imnumb,eqpay,pleave,crime_spend,death,terrorworry,terror12m,terrorlocal,incgp20,isistroops,mnwge,hlthspend,childcr,get_ahead,ladder,fin_well,warm,warm_cause,warm_do,free_trade,stpwhite,stpblack,frcwhite,frcblack,pkdeficit,pkspend,vaccine,autism,obama_muslim,amer_identity,race_identity,buycott,boycott,skin_tone,skin_disc,birthyr,gender
1198,1199,3,5,5,5,2,2,2,2,77,67,12,100,43,43,37,50,5.0,11.0,3,3,3,3,3,3,3,3,5,1,1.0,8,8,8,8,8,4,8,8,2,8,8,8,8,8,3,8,1,8,8,8,8,3,2,3,2,3,3,2,3,5,6,1,7,6,1,1,1,2,9,3,1,1,7,1,1,1,1,7,7,2,3,7,7,1,1,1,1,3,2,4,3,2,3,3,2,2,3,3,1978,2
206,207,2,3,4,5,2,2,2,1,59,71,71,72,40,69,65,70,1.0,11.0,5,5,5,5,5,5,5,4,2,3,1.0,8,8,8,8,2,8,8,8,8,8,8,3,8,8,4,8,8,8,1,8,8,2,2,5,2,3,5,2,4,2,997,6,1,2,2,2,1,2,2,3,4,1,2,1,2,4,3,3,3,1,3,4,2,3,5,2,5,1,4,4,4,2,1,1,2,2,4,2,1941,2
1066,1067,3,5,3,5,2,2,2,1,98,99,25,1,3,99,5,99,1.0,11.0,3,1,3,2,2,1,1,1,3,5,1.0,8,8,8,8,2,8,8,8,8,8,8,8,8,3,8,4,8,1,8,8,8,1,4,5,4,3,3,4,1,1,997,4,7,7,1,4,1,7,9,1,3,5,4,1,1,1,4,1,1,1,2,2,4,2,5,2,5,1,4,4,6,2,1,1,2,2,3,3,1985,1
851,852,2,5,4,3,2,2,1,1,80,39,99,30,60,18,0,97,3.0,9.0,1,2,1,4,2,4,3,1,3,4,1.0,8,8,8,8,3,8,8,8,1,8,8,8,8,8,8,4,8,8,8,2,8,3,3,4,2,3,4,3,2,4,4,7,2,6,1,2,3,1,4,4,5,1,7,1,4,3,2,6,6,1,3,2,4,3,4,2,3,3,2,5,2,1,4,2,2,2,1,5,1974,1
1059,1060,2,2,2,3,1,2,1,1,100,100,50,100,31,100,100,100,3.0,4.0,5,1,5,5,4,1,4,4,1,1,1.0,8,3,8,8,8,8,8,8,2,8,4,8,8,8,8,8,8,8,8,1,8,1,1,5,1,2,5,1,5,1,5,1,1,1,1,1,5,1,5,2,5,1,7,1,2,1,2,7,6,1,1,1,1,1,5,1,5,1,4,1,6,2,1,5,1,2,2,5,1987,2
474,475,1,4,4,5,1,2,2,2,3,94,100,99,91,97,84,81,1.0,6.0,5,5,5,5,5,4,5,4,1,2,1.0,8,8,8,8,8,8,4,8,8,8,3,8,8,8,1,8,8,8,8,2,8,2,4,4,2,2,5,3,4,5,6,1,6,6,1,1,2,2,3,9,5,1,3,2,3,2,3,2,2,1,1,1,4,2,4,2,4,1,4,2,6,2,1,3,2,2,2,5,1951,1
465,466,1,4,4,4,2,1,2,2,99,71,97,89,85,72,70,90,3.0,11.0,5,5,5,5,4,5,5,4,4,4,1.0,8,8,8,4,8,8,2,8,8,8,8,8,8,8,1,8,8,3,8,8,8,2,2,2,1,2,3,2,2,1,6,4,2,2,1,2,3,7,2,9,3,1,1,2,2,2,2,3,3,2,2,2,3,4,4,4,4,1,4,1,5,2,1,5,2,2,3,5,1945,1
1049,1050,1,2,2,2,2,2,1,1,71,90,87,87,16,86,86,95,3.0,11.0,5,5,5,5,5,5,5,5,3,3,1.0,8,8,3,8,2,8,8,4,1,8,8,8,8,8,8,8,8,8,8,8,8,1,2,4,1,2,4,1,4,4,7,1,1,4,1,1,4,2,4,9,5,1,7,1,1,1,2,7,7,1,1,1,7,2,5,3,5,3,4,1,6,2,5,5,2,1,1,5,1985,1
1048,1049,3,5,5,5,2,2,2,2,27,56,84,51,84,30,43,87,5.0,9.0,3,3,5,5,3,3,3,5,3,2,1.0,8,4,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,3,8,1,2,2,3,3,1,3,5,1,3,5,4,4,6,5,1,1,2,2,1,1,1,1,4,1,3,3,3,2,2,1,3,1,4,3,3,3,3,2,4,3,3,1,1,1,2,2,1,5,1979,2
497,498,1,5,4,5,2,2,2,1,100,81,86,70,60,67,61,70,1.0,11.0,4,4,4,4,4,4,4,3,3,3,1.0,8,8,8,8,4,1,8,8,8,8,8,8,8,8,2,8,8,3,8,8,8,3,3,4,3,3,3,1,3,5,5,1,2,4,1,1,1,2,9,3,5,1,6,1,2,4,3,3,3,1,1,1,2,3,4,3,5,1,4,2,3,2,1,1,2,2,1,5,1938,2
223,224,1,1,3,2,1,1,2,1,100,63,62,67,58,53,60,43,1.0,11.0,5,5,5,5,5,5,5,5,3,3,1.0,8,8,8,8,8,2,8,8,8,4,8,8,8,8,8,8,1,8,8,3,8,3,3,3,3,3,3,3,3,4,997,4,4,4,4,4,4,4,2,9,2,3,4,1,4,4,4,2,4,1,3,4,4,1,4,3,4,2,1,4,3,2,1,1,1,2,3,3,1973,2
228,229,1,5,5,5,2,2,2,1,96,72,84,68,65,74,63,84,3.0,11.0,4,3,5,5,3,3,4,4,2,3,1.0,8,8,3,8,8,1,8,8,8,8,8,8,8,8,2,8,8,8,8,8,4,2,3,4,3,3,5,2,5,5,5,1,2,4,1,1,3,3,9,4,5,2,2,1,2,2,3,3,5,1,3,2,4,3,4,3,4,1,2,1,6,2,2,3,2,2,2,5,1958,2
457,458,2,5,5,5,2,1,1,1,70,70,69,86,50,61,51,70,5.0,11.0,4,4,4,4,4,4,4,4,3,4,1.0,8,8,8,8,4,3,8,8,8,1,8,8,8,8,8,8,8,2,8,8,8,4,4,4,4,4,5,4,5,5,997,1,4,4,4,4,4,3,9,3,3,1,5,2,4,3,2,6,6,1,1,2,5,2,4,2,3,2,2,2,3,2,2,2,2,1,4,4,1967,2
1038,1039,2,5,5,5,2,2,2,2,41,100,85,100,50,40,80,70,3.0,11.0,5,5,5,5,3,3,3,3,3,3,1.0,8,8,8,8,8,3,8,2,8,8,8,8,8,8,8,8,8,4,8,1,8,1,1,5,3,4,4,2,4,3,4,7,4,4,3,1,6,4,5,9,5,1,7,1,2,3,3,5,5,1,2,4,4,2,5,2,5,1,2,4,2,2,5,1,2,2,5,3,1975,1
452,453,4,5,5,5,2,2,2,2,59,50,97,64,91,63,47,87,3.0,11.0,3,5,4,4,3,5,4,4,4,3,1.0,8,8,8,8,2,4,8,8,8,8,8,8,8,8,3,8,8,8,8,8,1,2,2,5,1,2,5,1,4,4,3,4,4,4,4,4,4,3,2,2,2,2,5,1,2,2,2,5,4,1,3,4,4,3,3,4,4,2,4,4,5,2,1,1,2,2,2,5,1965,2
235,236,1,4,5,3,2,1,2,2,95,69,11,47,11,73,43,72,3.0,11.0,5,5,5,5,5,5,5,5,3,3,1.0,8,8,8,8,8,8,8,1,2,4,8,8,8,8,8,8,8,8,8,3,8,2,2,4,3,3,4,1,5,5,6,1,1,2,4,1,2,6,9,3,5,1,4,1,1,1,1,7,4,1,1,1,6,2,4,2,4,2,1,2,6,2,5,5,2,2,1,5,1988,1
240,241,1,2,4,3,2,2,2,1,98,58,31,52,1,4,51,69,1.0,11.0,2,5,2,4,2,3,2,2,1,3,1.0,8,8,2,8,3,8,8,8,8,8,8,8,8,8,8,8,8,1,8,8,4,1,1,5,1,2,5,1,2,4,6,2,6,2,1,1,1,1,9,1,1,1,7,1,2,2,4,1,3,1,1,1,3,1,5,5,5,1,4,1,5,2,1,1,2,2,5,3,1955,2
869,870,3,5,5,5,2,2,2,2,59,17,22,40,42,24,24,38,1.0,11.0,2,1,3,2,3,2,3,2,3,3,1.0,8,8,8,8,8,4,1,8,8,8,8,8,8,8,8,8,8,8,8,3,2,3,3,3,3,3,3,3,3,5,6,4,4,4,3,4,4,4,4,4,5,3,4,1,3,4,2,4,3,2,2,2,4,1,1,1,1,2,3,3,5,2,4,2,2,2,4,5,1989,1
1025,1026,2,5,3,5,2,2,2,1,84,44,78,98,100,6,4,93,1.0,11.0,1,3,5,4,2,3,3,1,2,2,1.0,8,8,8,8,8,2,8,4,8,3,8,8,8,8,8,8,8,8,8,1,8,1,3,5,1,5,5,1,4,5,1,1,4,4,1,1,3,1,4,9,5,2,7,1,1,4,3,3,1,1,1,3,4,2,4,2,4,1,4,1,6,2,1,1,2,2,4,5,1986,2
461,462,2,5,5,5,2,2,2,2,86,52,52,52,91,53,9,89,1.0,3.0,4,4,4,5,3,3,3,3,2,2,1.0,8,4,8,8,8,8,1,8,8,8,3,8,8,8,8,8,8,8,2,8,8,3,3,3,1,2,4,1,4,4,4,4,5,4,1,3,3,1,9,3,5,2,2,1,3,3,2,5,5,1,3,1,4,1,1,1,1,1,4,1,6,2,2,2,2,2,2,5,1966,2
447,448,2,3,2,3,1,1,1,1,43,998,99,7,78,25,13,99,1.0,3.0,1,5,1,3,1,5,1,1,3,3,1.0,8,8,8,8,8,2,8,1,3,4,8,8,8,8,8,8,8,8,8,8,8,1,3,4,1,4,5,1,5,5,5,1,3,5,4,3,4,2,9,3,3,4,4,3,3,4,3,4,2,1,2,2,4,2,3,3,3,3,1,3,3,2,4,3,2,1,3,5,1961,2
198,199,2,4,3,2,2,1,1,2,71,50,50,50,40,60,50,95,3.0,11.0,5,5,5,5,5,5,5,5,2,3,1.0,8,8,4,8,8,2,8,8,8,8,8,8,8,8,8,8,1,8,8,3,8,2,2,5,2,2,5,2,5,4,3,1,2,3,1,1,4,2,9,4,5,1,7,1,3,3,2,6,7,1,1,1,4,2,5,3,5,2,2,1,6,2,4,4,2,1,1,5,1984,2
843,844,4,3,5,5,2,1,2,2,100,98,80,75,76,90,50,90,1.0,11.0,5,5,5,5,5,3,4,4,1,1,1.0,8,8,8,8,8,1,8,8,3,8,8,8,8,8,8,4,8,8,8,2,8,1,3,5,2,1,4,1,1,4,5,4,2,4,1,2,2,3,9,4,5,1,3,1,2,2,2,3,3,2,1,4,5,2,5,2,5,1,3,2,3,2,2,1,1,1,4,5,1957,2
548,549,1,3,5,3,2,1,2,2,100,88,99,62,38,85,50,77,1.0,11.0,3,5,4,5,2,5,1,2,4,3,1.0,8,8,8,3,4,2,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1,3,2,4,3,3,5,2,5,2,5,5,6,6,1,1,4,1,1,3,3,2,5,1,3,2,3,2,1,1,2,3,3,2,4,2,4,1,4,1,5,2,1,2,2,2,3,5,1963,2
814,815,2,1,2,2,1,2,2,2,97,99,59,65,44,50,8,49,2.0,4.0,3,3,3,3,3,3,3,3,3,3,1.0,8,8,8,8,8,8,8,8,8,8,4,8,8,8,2,8,8,3,8,1,8,2,3,2,4,1,3,3,1,2,4,3,3,4,3,3,3,2,9,4,1,3,3,1,2,3,3,3,3,1,3,3,3,3,4,4,3,1,2,3,3,2,1,1,2,2,5,3,1992,2
156,157,1,5,5,5,2,2,2,2,100,95,85,75,90,80,90,100,1.0,11.0,5,5,5,5,3,3,3,4,2,1,1.0,8,8,8,8,8,3,8,8,8,8,8,8,4,2,1,8,8,8,8,8,8,2,4,5,4,4,4,1,5,5,4,6,4,4,1,5,2,3,5,5,5,1,4,2,3,3,5,5,3,1,1,4,4,2,3,5,4,2,1,1,5,2,3,2,2,2,4,5,1955,1
827,828,2,5,5,5,2,2,2,1,100,97,100,96,80,52,90,92,1.0,6.0,5,5,5,5,5,5,5,5,1,1,1.0,2,8,8,8,3,8,4,8,8,8,8,8,8,8,1,8,8,8,8,8,8,2,3,4,4,2,4,2,2,5,7,1,1,1,1,1,1,4,9,3,5,1,7,1,1,1,2,1,1,1,1,1,4,2,4,2,4,1,4,2,6,2,2,2,2,2,2,5,1937,2
1088,1089,2,2,4,4,2,2,2,1,69,4,51,29,51,10,70,80,1.0,10.0,3,3,3,3,4,3,5,3,4,4,1.0,8,8,8,8,8,4,8,8,8,8,2,8,8,8,8,8,8,8,3,1,8,2,4,1,5,3,4,1,3,3,7,3,3,5,5,5,5,4,3,9,2,3,4,2,5,5,3,4,4,1,3,4,4,4,3,4,4,3,1,4,4,2,3,2,2,2,4,4,1979,1
163,164,1,2,4,4,2,2,2,1,90,86,86,71,100,42,10,94,1.0,4.0,3,3,4,3,2,3,3,2,2,2,1.0,8,1,8,8,8,8,2,8,8,8,8,8,4,8,3,8,8,8,8,8,8,3,2,4,2,3,4,1,3,5,2,1,2,7,2,3,3,1,9,2,3,1,2,2,3,4,4,2,2,1,1,2,5,3,3,3,3,1,4,1,5,1,1,5,2,1,2,5,1946,1
164,165,3,5,5,5,2,2,2,2,47,48,35,92,36,1,14,48,5.0,11.0,3,3,5,5,2,3,5,1,2,2,1.0,8,8,8,8,8,1,8,8,8,8,8,8,4,8,8,8,8,8,8,3,2,4,3,5,5,4,5,3,5,4,997,4,4,5,3,4,4,4,9,4,1,4,6,1,2,4,2,2,2,1,3,3,7,2,4,3,3,1,4,1,6,1,2,2,2,2,3,5,1972,2
831,832,2,4,3,5,2,1,2,2,48,89,68,88,62,91,85,74,3.0,11.0,5,5,5,5,4,4,4,4,3,2,1.0,4,8,8,8,2,8,8,8,8,8,8,8,8,8,8,8,3,8,8,1,8,2,2,5,1,2,5,1,4,2,5,1,2,4,1,2,4,5,3,4,5,2,5,1,3,1,2,4,6,1,1,3,3,1,4,3,4,2,3,1,5,2,4,4,1,2,1,5,1996,2
500,501,3,4,4,5,2,2,2,1,57,77,86,44,87,29,59,68,5.0,11.0,4,4,4,4,3,3,3,3,3,2,1.0,8,8,8,8,8,4,8,8,8,8,1,8,8,8,8,2,8,8,8,3,8,3,3,4,2,4,5,1,4,4,3,4,3,4,1,1,4,2,4,4,4,2,5,2,5,2,4,2,2,1,3,3,3,3,3,2,3,1,2,3,5,2,1,2,2,2,1,5,1982,2
1086,1087,3,4,4,3,2,2,2,1,84,100,63,100,54,98,100,98,3.0,11.0,5,5,5,5,5,5,5,5,2,2,1.0,4,8,8,2,3,8,8,8,8,8,8,8,8,1,8,8,8,8,8,8,8,2,3,5,2,4,5,1,5,5,4,1,1,3,1,1,6,6,9,5,5,2,6,1,3,3,2,4,4,1,3,2,4,2,3,2,3,1,2,1,6,2,2,4,2,1,2,5,1997,1
524,525,1,3,2,2,2,2,1,1,98,99,100,99,66,100,99,99,1.0,1.0,5,5,5,5,5,5,5,5,1,1,1.0,8,8,4,8,8,8,3,8,8,8,1,8,8,8,2,8,8,8,8,8,8,1,2,4,2,2,5,1,5,5,7,5,2,4,1,1,1,4,3,9,3,2,7,1,1,1,5,2,1,1,1,1,2,3,5,2,5,3,1,1,1,2,1,1,2,2,1,5,1940,2
172,173,1,2,2,2,2,2,1,1,91,87,88,85,91,98,73,97,1.0,6.0,5,5,5,5,5,5,5,5,2,3,1.0,8,8,8,8,8,8,8,3,8,8,1,8,8,8,2,8,8,8,4,8,8,2,2,5,3,3,5,1,4,4,5,1,2,3,1,1,3,7,4,9,5,1,5,1,2,1,3,2,5,1,1,2,3,3,4,3,3,3,1,1,6,2,1,2,2,1,1,5,1940,2
833,834,2,2,4,4,2,2,2,1,98,91,88,87,5,93,58,31,1.0,2.0,5,5,5,5,5,5,5,5,4,5,1.0,8,8,8,8,3,4,8,8,8,8,8,8,8,8,1,8,8,8,8,2,8,2,2,4,2,2,1,2,2,5,7,7,4,3,1,1,4,5,2,9,4,2,7,1,3,3,3,5,4,1,3,3,5,1,5,2,5,2,4,1,4,2,4,2,2,2,4,4,1974,1
186,187,1,5,5,4,2,2,2,1,88,97,70,94,59,89,80,94,3.0,11.0,5,5,5,5,4,4,4,4,2,2,1.0,8,8,3,8,8,8,8,4,1,8,8,8,8,8,8,8,8,2,8,8,8,3,4,4,2,3,5,1,5,4,4,1,4,3,1,1,4,1,9,1,4,1,3,1,1,4,2,6,6,1,1,2,4,2,4,2,4,1,1,1,6,2,1,5,2,2,3,5,1956,2
1076,1077,3,5,5,5,2,2,2,1,63,63,61,56,53,72,59,100,3.0,11.0,5,5,5,5,5,5,5,5,3,3,1.0,4,8,8,8,8,1,8,3,8,8,8,8,8,8,8,8,2,8,8,8,8,2,3,3,1,3,5,1,5,5,6,1,2,4,1,1,3,3,9,3,5,1,4,1,1,1,2,5,5,1,3,3,3,3,4,3,4,1,2,2,4,1,2,5,2,2,1,5,1988,2
838,839,3,5,5,5,2,2,2,2,100,100,56,60,51,71,57,71,1.0,11.0,3,3,3,3,3,2,3,3,2,2,1.0,8,8,8,8,8,8,8,8,8,3,1,8,8,2,8,8,8,4,8,8,8,1,3,5,3,2,3,3,3,4,997,4,6,2,2,2,1,2,4,3,4,2,6,1,3,4,1,3,2,1,3,3,4,1,5,2,5,3,2,1,5,2,3,1,2,2,3,4,1987,1
839,840,3,5,5,5,2,2,2,2,63,81,74,69,74,68,11,81,1.0,9.0,3,4,2,3,3,3,2,1,2,2,1.0,8,8,8,1,8,8,8,8,8,4,8,8,8,8,3,8,8,2,8,8,8,3,3,2,1,3,3,4,3,5,6,2,2,4,2,2,2,2,2,3,3,2,3,1,2,4,3,3,3,1,3,3,4,3,4,3,4,1,4,4,4,2,1,2,2,2,1,5,1957,1
841,842,2,1,2,2,1,1,1,1,50,32,51,52,41,36,37,59,1.0,2.0,2,2,2,2,2,2,3,3,2,2,1.0,8,8,8,8,8,1,8,8,8,3,8,8,8,8,2,8,8,4,8,8,8,2,1,2,2,2,2,3,2,1,7,1,1,2,2,3,1,2,2,1,2,1,1,2,1,3,2,2,2,1,2,6,4,2,2,2,2,2,2,4,3,1,2,2,1,1,3,4,1975,1
702,703,1,5,1,4,2,2,1,1,77,90,91,79,70,95,90,100,3.0,7.0,5,3,5,5,4,2,5,4,2,2,1.0,4,8,3,8,1,8,8,8,2,8,8,8,8,8,8,8,8,8,8,8,8,1,1,4,1,1,5,1,5,2,7,1,1,4,1,1,6,5,5,5,5,1,7,1,1,1,1,7,7,1,1,1,7,1,5,2,5,3,1,1,6,2,4,4,2,1,3,5,1981,2
245,246,1,5,5,2,2,1,2,1,99,64,48,49,99,100,52,49,3.0,6.0,5,5,5,5,3,3,3,3,2,3,1.0,8,1,8,8,8,2,8,8,8,8,8,3,8,8,8,4,8,8,8,8,8,3,2,4,3,4,5,2,3,3,4,1,4,4,2,3,2,4,9,3,5,1,3,1,1,4,3,4,4,2,3,4,2,3,3,2,4,1,4,1,3,2,1,2,2,2,1,5,1964,2
246,247,1,4,4,3,2,1,2,1,100,81,78,100,99,99,70,99,1.0,8.0,5,5,5,5,5,4,5,4,1,3,1.0,8,8,3,8,8,8,8,8,8,8,1,8,8,8,8,8,8,8,2,4,8,4,4,5,4,4,5,3,5,5,7,1,2,4,1,1,4,7,4,9,5,2,7,1,1,2,5,5,5,1,1,1,1,3,3,2,3,1,2,1,6,2,3,3,1,2,2,5,1959,2
251,252,3,5,5,5,2,2,2,1,98,60,88,49,69,50,50,90,1.0,1.0,4,4,4,4,3,3,3,3,3,3,1.0,8,8,8,8,8,1,8,8,8,8,2,8,8,8,4,8,8,8,8,8,3,3,3,4,4,3,4,4,4,4,3,2,5,5,2,1,3,2,3,9,4,2,3,1,2,3,2,6,7,1,3,3,7,4,4,3,4,1,4,2,2,2,3,3,2,2,3,5,1956,2
944,945,4,5,5,5,2,2,2,1,80,40,100,34,98,91,1,63,3.0,11.0,2,4,4,3,1,4,3,1,3,2,1.0,8,8,8,8,4,2,8,8,8,8,8,8,8,8,8,8,8,1,8,8,3,2,2,5,2,3,5,2,4,5,5,4,7,7,1,2,1,1,1,2,5,2,7,1,2,3,4,5,2,1,1,4,4,4,4,3,3,1,2,2,5,2,1,1,2,2,2,5,1981,2
978,979,1,1,1,1,1,1,1,2,85,99,16,100,5,90,100,100,3.0,7.0,5,5,5,5,5,4,5,5,3,2,1.0,8,8,8,8,8,4,8,8,1,2,8,8,8,3,8,8,8,8,8,8,8,1,2,5,2,2,5,1,5,5,7,1,1,2,1,1,7,7,5,5,5,1,7,1,1,1,1,7,7,1,1,1,7,1,5,1,5,1,1,1,6,2,5,5,2,2,1,5,1988,1
369,370,1,4,5,3,2,2,2,2,100,51,50,52,81,51,41,51,1.0,11.0,5,5,5,5,4,1,4,4,1,1,1.0,8,2,8,8,8,4,8,8,8,8,3,8,8,8,8,8,8,8,8,8,1,2,3,3,2,2,2,3,1,4,997,4,6,7,1,3,2,3,9,2,4,1,7,1,1,4,2,3,4,1,3,4,4,3,5,4,5,1,2,1,3,2,1,1,2,2,5,4,1947,2
945,946,2,4,5,4,2,2,2,1,64,62,50,66,44,50,50,62,1.0,11.0,5,5,5,5,5,5,5,5,3,3,1.0,8,8,8,8,8,8,8,1,2,3,4,8,8,8,8,8,8,8,8,8,8,3,3,3,3,3,3,3,3,4,5,4,4,4,4,4,5,4,5,9,5,1,7,1,2,4,2,7,6,2,3,3,4,3,4,3,4,2,2,4,4,2,5,5,2,2,4,3,1984,1
316,317,1,3,1,3,2,1,1,1,100,57,71,100,100,100,8,100,1.0,11.0,2,3,4,3,2,2,4,2,1,1,1.0,8,8,8,8,8,1,2,8,8,8,8,8,8,8,8,8,8,8,4,3,8,1,3,5,4,3,5,1,4,5,6,1,1,2,1,4,4,1,5,9,5,1,7,1,1,2,3,6,6,1,3,2,2,2,5,2,5,1,1,1,6,2,2,2,2,1,4,5,1951,1
360,361,1,5,5,5,2,2,2,2,61,0,99,0,9,0,0,59,3.0,11.0,1,5,1,1,1,5,1,1,4,5,1.0,8,8,8,8,8,3,8,4,2,8,8,8,8,8,1,8,8,8,8,8,8,5,5,1,5,5,4,5,5,5,7,1,7,7,7,1,5,1,3,9,5,1,2,1,1,4,1,7,7,2,2,4,4,4,4,5,5,1,4,7,1,1,1,1,2,1,1,5,1949,1
318,319,1,1,1,1,1,1,1,1,100,99,33,48,68,100,50,56,1.0,3.0,1,5,5,5,1,5,5,5,3,3,1.0,8,8,8,3,4,8,8,2,8,8,8,8,8,8,8,8,1,8,8,8,8,5,5,5,5,5,5,5,5,5,7,4,1,1,3,3,3,3,1,1,1,3,4,2,1,3,3,3,4,1,2,4,3,3,3,3,3,2,2,3,2,1,1,1,1,1,6,1,1984,2
319,320,3,5,5,5,2,1,2,2,88,56,84,54,79,50,22,79,1.0,11.0,3,4,4,3,4,4,4,2,3,3,1.0,8,8,8,8,8,2,8,8,8,8,4,8,8,8,8,8,8,1,8,8,3,2,2,3,2,3,3,2,4,5,997,1,4,5,2,1,2,4,2,2,4,1,6,1,6,3,2,6,3,2,3,4,4,3,4,3,4,1,2,3,3,2,1,2,1,2,1,5,1956,2
